Label,Value
2013-03-16,157561
2013-03-23,5296
2013-03-30,12003
2013-04-06,1563
2013-04-13,14504
2013-04-27,1600
2013-05-04,5158
2013-05-11,2902
2013-05-18,4426
2013-05-25,3011
2013-06-08,11897
2013-06-22,7327
2013-06-29,3308
2013-07-06,130
2013-07-13,1950
2013-07-20,6662
2013-07-27,4396
2013-08-03,5733
2013-08-10,2720
2013-08-17,23469
2013-08-24,10002
2013-08-31,17337
2013-09-07,6510
2013-09-14,19261
2013-09-21,23527
2013-09-28,50582
2013-10-05,111013
2013-10-12,64005
2013-10-19,137443
2013-10-26,126633
2013-11-02,161056
2013-11-09,334261
2013-11-16,333649
2013-11-23,214977
2013-11-30,419006
2013-12-07,360189
2013-12-14,226700
2013-12-21,341406
2013-12-28,368281
2014-01-04,554000
2014-01-11,1004326
2014-01-18,1282979
2014-01-25,314196
2014-02-01,536872
2014-02-08,605313
2014-02-15,750547
2014-02-22,378710
2014-03-01,339118
2014-03-08,324808
2014-03-15,189712
2014-03-22,282427
2014-03-29,271177
2014-04-05,295504
2014-04-12,265851
2014-04-19,347232
2014-04-26,415213
2014-05-03,491042
2014-05-10,275993
2014-05-17,308827
2014-05-24,436513
2014-05-31,737281
2014-06-07,448032
2014-06-14,368627
2014-06-21,368307
2014-06-28,239322
2014-07-05,353989
2014-07-12,270898
2014-07-19,286848
2014-07-26,398548
2014-08-02,304594
2014-08-09,328284
2014-08-16,373699
2014-08-23,561810
2014-08-30,483472
2014-09-06,589682
2014-09-13,698242
2014-09-20,554870
2014-09-27,563392
2014-10-04,546447
2014-10-11,566663
2014-10-18,675314
2014-10-25,346861
2014-11-01,399152
2014-11-08,321884
2014-11-15,433044
2014-11-22,368762
2014-11-29,430601
2014-12-06,362864
2014-12-13,457114
2014-12-20,539679
2014-12-27,298403
2015-01-03,325595
2015-01-10,386318
2015-01-17,491784
2015-01-24,541378
2015-01-31,491538
2015-02-07,532545
2015-02-14,447196
2015-02-21,626045
2015-02-28,546371
2015-03-07,432838
2015-03-14,591692
2015-03-21,619364
2015-03-28,433716
2015-04-04,345584
2015-04-11,370744
2015-04-18,564311
2015-04-25,366096
2015-05-02,402573
2015-05-09,501038
2015-05-16,622545
2015-05-23,551692
2015-05-30,456149
2015-06-06,458686
2015-06-13,356757
2015-06-20,500409
2015-06-27,420338
2015-07-04,650702
2015-07-11,664273
2015-07-18,679334
2015-07-25,638957
2015-08-01,616724
2015-08-08,602976
2015-08-15,666280
2015-08-22,703658
2015-08-29,737080
2015-09-05,558753
2015-09-12,713140
2015-09-19,675923
2015-09-26,941367
2015-10-03,957982
2015-10-10,751908
2015-10-17,661836
2015-10-24,542558
2015-10-31,682390
2015-11-07,763832
2015-11-14,655839
2015-11-21,595435
2015-11-28,622868
2015-12-05,822207
2015-12-12,777673
2015-12-19,914770
